B01003_001E,county,state,tract
1934.0,001,36,000100
4431.0,001,36,000200
5277.0,001,36,000300
2377.0,001,36,000401
4819.0,001,36,000403
5045.0,001,36,000404
3667.0,001,36,000501
3756.0,001,36,000502
3810.0,001,36,000600
3713.0,001,36,000700
2037.0,001,36,000800
1239.0,001,36,001100
3668.0,001,36,001400
5080.0,001,36,001500
4163.0,001,36,001600
4562.0,001,36,001700
7046.0,001,36,001801
3933.0,001,36,001802
2497.0,001,36,001901
2723.0,001,36,001902
6775.0,001,36,002000
3119.0,001,36,002100
2498.0,001,36,002200
1946.0,001,36,002300
3096.0,001,36,002500
5214.0,001,36,002600
2419.0,001,36,012700
3770.0,001,36,012800
3307.0,001,36,012900
6915.0,001,36,013000
2613.0,001,36,013100
3146.0,001,36,013200
4878.0,001,36,013300
2183.0,001,36,013400
5014.0,001,36,013503
2655.0,001,36,013505
6701.0,001,36,013506
2443.0,001,36,013507
6751.0,001,36,013508
10036.0,001,36,013601
4246.0,001,36,013602
2657.0,001,36,013703
6282.0,001,36,013705
2195.0,001,36,013706
6061.0,001,36,013707
7542.0,001,36,013801
4214.0,001,36,013802
2481.0,001,36,013901
5407.0,001,36,013902
4039.0,001,36,014001
4169.0,001,36,014002
5204.0,001,36,014100
5873.0,001,36,014201
5883.0,001,36,014202
6317.0,001,36,014203
2880.0,001,36,014301
8552.0,001,36,014302
4143.0,001,36,014401
3275.0,001,36,014402
2518.0,001,36,014501
3418.0,001,36,014502
2822.0,001,36,014503
3648.0,001,36,014606
7621.0,001,36,014607
4083.0,001,36,014608
4738.0,001,36,014609
1996.0,001,36,014611
1735.0,001,36,014612
3406.0,001,36,014613
5578.0,001,36,014614
2888.0,001,36,014615
2754.0,001,36,014700
2820.0,001,36,014801
1808.0,001,36,014802
3382.0,001,36,014803
20.0,003,36,940200
2566.0,003,36,950100
4754.0,003,36,950300
3730.0,003,36,950400
3534.0,003,36,950500
3682.0,003,36,950600
3575.0,003,36,950700
6309.0,003,36,950800
3760.0,003,36,950900
3217.0,003,36,951000
3866.0,003,36,951100
4796.0,003,36,951200
3891.0,003,36,951300
7503.0,005,36,000100
5251.0,005,36,000200
5980.0,005,36,000400
6056.0,005,36,001600
2682.0,005,36,001900
9131.0,005,36,002000
4824.0,005,36,002300
123.0,005,36,002400
5651.0,005,36,002500
3034.0,005,36,002701
4684.0,005,36,002702
5350.0,005,36,002800
1744.0,005,36,003100
3855.0,005,36,003300
3935.0,005,36,003500
279.0,005,36,003700
1246.0,005,36,003800
6487.0,005,36,003900
1489.0,005,36,004001
6208.0,005,36,004100
7848.0,005,36,004200
6021.0,005,36,004300
4827.0,005,36,004400
1976.0,005,36,004600
4504.0,005,36,004800
5181.0,005,36,005001
5687.0,005,36,005002
5676.0,005,36,005100
2368.0,005,36,005200
3866.0,005,36,005300
6292.0,005,36,005400
2614.0,005,36,005600
2746.0,005,36,005902
1269.0,005,36,006000
3878.0,005,36,006100
7386.0,005,36,006200
4291.0,005,36,006300
3266.0,005,36,006400
5609.0,005,36,006500
7597.0,005,36,006700
3358.0,005,36,006800
8672.0,005,36,006900
4889.0,005,36,007000
2544.0,005,36,007100
5563.0,005,36,007200
4046.0,005,36,007300
3701.0,005,36,007400
6043.0,005,36,007500
5013.0,005,36,007600
2040.0,005,36,007700
6535.0,005,36,007800
6693.0,005,36,007900
6887.0,005,36,008300
2528.0,005,36,008400
6406.0,005,36,008500
3849.0,005,36,008600
6420.0,005,36,008700
3323.0,005,36,008900
3636.0,005,36,009000
5975.0,005,36,009200
6601.0,005,36,009300
2597.0,005,36,009600
5306.0,005,36,009800
151.0,005,36,011000
4656.0,005,36,011502
1536.0,005,36,011700
5267.0,005,36,011800
5179.0,005,36,011900
2875.0,005,36,012101
1682.0,005,36,012102
3893.0,005,36,012300
4311.0,005,36,012500
1954.0,005,36,012701
4240.0,005,36,012901
1447.0,005,36,013000
5008.0,005,36,013100
7160.0,005,36,013200
6095.0,005,36,013300
3855.0,005,36,013500
2794.0,005,36,013800
5781.0,005,36,014100
1085.0,005,36,014300
6198.0,005,36,014400
8112.0,005,36,014500
7152.0,005,36,014701
5326.0,005,36,014702
