Taxon,Longitude,Latitude,Country,ADM1_NAME,ADM2_NAME
coffee,-51.06249328,-23.85416478,Brazil,Parana,Tamarana
coffee,-50.72915992,-23.68749811,Brazil,Parana,Sao Jeronimo Da Serra
coffee,-50.68749326,-23.68749811,Brazil,Parana,Sao Jeronimo Da Serra
coffee,-50.60415992,-23.68749811,Brazil,Parana,Sao Jeronimo Da Serra
coffee,-51.43749329,-23.52083143,Brazil,Parana,Apucarana
coffee,-46.64582638,-22.81249806,Brazil,Sao Paulo,Tuiuti
coffee,-46.64582638,-22.72916472,Brazil,Sao Paulo,Monte Alegre Do Sul
coffee,-46.39582637,-22.68749805,Brazil,Minas Gerais,Toledo
coffee,-46.52082637,-22.47916471,Brazil,Minas Gerais,Monte Siao
coffee,-45.93749301,-22.43749804,Brazil,Minas Gerais,Estiva
coffee,-45.93749301,-22.27083137,Brazil,Minas Gerais,Pouso Alegre
coffee,-45.72915966,-22.27083137,Brazil,Minas Gerais,Santa Rita Do Sapucai
coffee,-46.22915969,-22.2291647,Brazil,Minas Gerais,Borda Da Mata
coffee,-45.97915968,-22.2291647,Brazil,Minas Gerais,Pouso Alegre
coffee,-45.64582633,-22.2291647,Brazil,Minas Gerais,Santa Rita Do Sapucai
coffee,-45.89582634,-22.18749803,Brazil,Minas Gerais,Pouso Alegre
coffee,-45.77082633,-22.18749803,Brazil,Minas Gerais,Sao Sebastiao Da Bela Vista
coffee,-45.52082632,-22.18749803,Brazil,Minas Gerais,Natercia
coffee,-46.52082637,-22.14583136,Brazil,Minas Gerais,Andradas
coffee,-46.77082638,-22.10416469,Brazil,Sao Paulo,Espirito Santo Do Pinhal
coffee,-46.64582638,-22.06249802,Brazil,Minas Gerais,Andradas
coffee,-45.89582634,-22.06249802,Brazil,Minas Gerais,Silvianopolis
coffee,-45.89582634,-22.02083135,Brazil,Minas Gerais,Silvianopolis
coffee,-45.93749301,-21.97916468,Brazil,Minas Gerais,Sao Joao Da Mata
coffee,-45.64582633,-21.97916468,Brazil,Minas Gerais,Sao Goncalo Do Sapucai
coffee,-45.64582633,-21.93749801,Brazil,Minas Gerais,Sao Goncalo Do Sapucai
coffee,-46.3541597,-21.89583135,Brazil,Minas Gerais,Caldas
coffee,-45.687493,-21.89583135,Brazil,Minas Gerais,Sao Goncalo Do Sapucai
coffee,-46.68749305,-21.77083134,Brazil,Sao Paulo,Sao Sebastiao Da Grama
coffee,-46.43749303,-21.77083134,Brazil,Minas Gerais,Pocos De Caldas
coffee,-46.39582637,-21.77083134,Brazil,Minas Gerais,Caldas
coffee,-46.72915972,-21.72916467,Brazil,Sao Paulo,Sao Sebastiao Da Grama
coffee,-46.85415972,-21.687498,Brazil,Sao Paulo,Sao Jose Do Rio Pardo
coffee,-46.60415971,-21.687498,Brazil,Minas Gerais,Pocos De Caldas
coffee,-45.43749298,-21.687498,Brazil,Minas Gerais,Monsenhor Paulo
coffee,-46.43749303,-21.64583133,Brazil,Minas Gerais,Botelhos
coffee,-45.47915965,-21.64583133,Brazil,Minas Gerais,Eloi Mendes
coffee,-45.39582631,-21.60416466,Brazil,Minas Gerais,Varginha
coffee,-44.22915959,-21.60416466,Brazil,Minas Gerais,Andrelandia
coffee,-46.39582637,-21.562498,Brazil,Minas Gerais,Cabo Verde
coffee,-46.18749302,-21.562498,Brazil,Minas Gerais,Serrania
coffee,-45.72915966,-21.562498,Brazil,Minas Gerais,Paraguacu
coffee,-45.39582631,-21.562498,Brazil,Minas Gerais,Varginha
coffee,-46.4791597,-21.52083133,Brazil,Minas Gerais,Cabo Verde
coffee,-45.97915968,-21.52083133,Brazil,Minas Gerais,Alfenas
