OBJECTID,Well ID,Time,Gallons,pH,Specific Conductivity ms/cm,D.O. ppm,Temperature in Celcius,ORP mV,GlobalID
1,MW-3,9/26/2018 5:48:41 PM,0.25,6.67,1.726,0.43,19.3,132.3,d5e193ee-d1a5-41ae-ab66-4ad9238973eb
2,MW-3,9/26/2018 5:51:08 PM,0.5,6.64,1.641,0.25,19.76,114.8,180d7284-911d-4f47-9a3a-21718c2906a3
3,MW-3,9/26/2018 5:54:57 PM,1,6.63,1.645,0.42,19.7,103.7,0b5d697f-fe2d-4fc9-834b-fa5bd8c49f8c
4,MW-3,9/26/2018 5:57:10 PM,3,6.61,1.628,0.44,19.88,97.1,c6f4278c-e550-47f5-b3e2-d42098455642
5,MW-3,9/26/2018 6:00:49 PM,4,6.62,1.6,0.3,19.9,89.7,5d2e996d-6d64-4155-94fe-b84e54d7a64d
6,7B-MW-1,9/26/2018 6:36:09 PM,0.25,7.08,3.006,0.21,22.65,-114.1,1b92db95-ebea-4721-bc6d-156b015a5683
7,7B-MW-1,9/26/2018 6:38:03 PM,0.4,7.09,2.866,0.15,22.7,-115.6,9da652b6-7059-49cc-ac88-6c068d7ce072
8,7B-MW-1,9/26/2018 6:40:18 PM,0.55,7.13,2.584,0.11,22.66,-94.4,9c3d4a13-48a5-4ce3-9384-ac8392111d81
9,7B-MW-1,9/26/2018 6:42:25 PM,1,7.13,2.428,0.1,22.73,-105.9,fa31aa4f-59b5-4389-9ccb-1cc436172028
10,7B-MW-1,9/26/2018 6:44:30 PM,1.25,7.1,2.632,0.18,22.62,-110.5,ea484494-7aea-47df-97e8-45c4bf18ed2c
12,MW-9,9/26/2018 7:17:59 PM,0.25,7.2,1.489,0.65,18.27,14.7,0618608d-9de3-4361-8803-814bac35d32f
13,MW-9,9/26/2018 7:19:05 PM,0.5,7.15,1.411,0.2,18.07,17.4,8d9ba60d-6065-4a9c-832a-9c949b243bad
14,MW-9,9/26/2018 7:21:59 PM,0.75,7.13,1.39,0.12,18.02,15.6,67c50dba-e045-4f04-a39a-5a5729feb55d
15,MW-9,9/26/2018 7:23:30 PM,1,7.13,1.391,0.07,18.11,12.8,23b08702-abfa-4914-8b35-cfd295fcbd01
16,MW-5,9/27/2018 11:25:00 AM,0.5,6.42,0.981,0.32,18.61,48.5,5bb2e458-5628-4f02-b32d-f987612148fa
17,MW-5,9/27/2018 11:27:59 AM,0.75,6.38,0.923,0.42,18.77,63.3,066dcd38-d3ee-4f79-b3da-3ec69a5de09f
18,MW-5,9/27/2018 11:29:04 AM,1,6.37,0.904,0.41,18.81,75.5,7b0982fd-b611-4a18-9d02-51af399aa8ec
19,MW-5,9/27/2018 11:31:10 AM,1.5,6.37,0.888,0.39,18.92,88.5,d6800f51-5035-4620-b038-078b8eecf925
20,MW-5,9/27/2018 11:33:26 AM,2.5,6.37,0.864,0.48,18.99,99.3,bc3b2b51-3540-4829-8f4e-f0452b2f24dc
21,MW-5,9/27/2018 11:35:34 AM,3,6.39,0.864,0.72,19.01,108.7,241ed99e-c4be-4301-aaf2-fc89b7cddd90
22,MW-6,9/27/2018 12:02:43 PM,0.5,6.7,0.597,0.75,19.36,34.7,0bba46c3-95d2-4222-a1ce-421ce2229180
23,MW-6,9/27/2018 12:04:18 PM,1,6.74,1.053,0.54,19.27,23.5,cb27efab-625b-4d05-9e47-f003456fbb14
24,MW-6,9/27/2018 12:06:05 PM,1.25,6.81,1.678,0.42,19.18,-2.9,be662081-a4a6-4e95-b242-22a204c26f54
25,MW-6,9/27/2018 12:08:08 PM,1.75,6.84,1.851,0.36,19.13,-14,d3b8db2a-ce37-4863-8144-e39ec61a6396
26,MW-6,9/27/2018 12:10:43 PM,2,6.87,2.09,0.36,19.09,-27.3,242960da-c57e-43fa-97b7-3ecfe462a444
27,MW-6,9/27/2018 12:12:31 PM,2.5,6.9,2.24,0.31,19.04,-36.7,e0eac969-1ff9-4afb-a04d-55a67e57a777
28,MW-8,9/27/2018 12:48:19 PM,0.5,7.11,2.423,0.28,18.82,-98.9,ffd7b223-fa9e-47c0-b2e7-bfcf45caea20
29,MW-8,9/28/2018 12:50:46 AM,1.5,7.1,2.422,0.06,18.84,-134.8,841e3933-7152-40e7-a08e-290586217b63
30,MW-8,9/27/2018 12:53:32 PM,2.5,7.1,2.457,0.05,18.84,-140.9,f328f268-5a0b-4282-843b-6d3d26c4cb57
31,MW-8,9/27/2018 12:55:40 PM,3,7.1,2.484,0.04,18.83,-144.7,277a63e2-b781-49be-9d4a-998bcd09b0f5
32,MW-10,9/27/2018 1:24:01 PM,0.5,7.23,1.074,0.68,17.37,10.6,0ba1c8c0-c0ad-4704-a4bc-7aba9fba4000
33,MW-10,9/27/2018 1:26:40 PM,1,7.11,1.067,0.17,17.4,15.2,cec0e7f8-b662-4563-b2ca-d6951576a809
34,MW-10,9/28/2018 1:28:01 AM,2,7.1,1.068,0.08,17.4,19.2,e2f663fc-15db-4e2a-8b37-e5bf439210a8
35,MW-10,9/27/2018 1:30:53 PM,3,7.11,1.066,0.04,17.42,20.9,7f33638c-d6b4-48b3-8fe8-41ef9a5c60ea
36,MW-10,9/27/2018 1:32:07 PM,4,7.11,1.065,0.05,17.41,21.6,526fb561-77b6-4e89-9cff-520d64dcf53f
37,MW-11,9/27/2018 2:01:19 PM,0.5,7,0.758,0.66,20.96,62.5,4e280f46-fe54-4542-a170-67882f23b37d
38,MW-11,9/27/2018 2:03:51 PM,1,6.96,0.779,0.67,20.29,63.3,522ec50b-cc69-4170-8fc1-152aca7b74af
39,MW-11,9/27/2018 2:05:29 PM,2,6.95,0.791,0.42,20.1,59.1,3796cd71-7424-4373-80ad-073fdba813a7
40,MW-11,9/27/2018 2:07:40 PM,2.5,6.94,0.793,0.25,19.9,56,5dac3e31-8cbe-4011-9a34-d9b660ca5d2b
41,MW-11,9/27/2018 2:09:09 PM,3,6.94,0.8,0.18,19.85,57.1,4053ab89-3585-49ca-8fdb-d260aaaf4256
42,MW-11,9/27/2018 2:11:10 PM,3.5,6.94,0.81,0.15,19.77,57.8,97ba2501-9f71-438f-ad34-559e58f33f13
43,62W-MW-2,9/27/2018 2:36:46 PM,0.25,6.35,0.888,5.1,18.4,114.6,d7b83844-433c-40f1-963c-9b8d14590a17
44,62W-MW-2,9/27/2018 2:38:28 PM,0.5,6.29,0.883,4.28,18.5,126.3,8c296598-88cf-4d70-b18f-d9bb02dd1fc2
45,62W-MW-2,9/27/2018 2:40:55 PM,0.75,6.28,0.871,4.2,18.6,135.5,43968e62-5908-42bc-85d5-101d0f5e8216
46,62W-MW-2,9/27/2018 2:42:32 PM,1,6.27,0.808,3.21,18.64,137.7,47918cf3-355b-4781-bb16-d886bb8550df
47,62W-MW-2,9/27/2018 2:44:18 PM,1.25,6.27,0.801,2.8,18.65,138.9,4236a6ee-c228-4532-ab33-67985164fdb1
48,MW-12,9/27/2018 3:09:33 PM,0.25,9.08,1.134,3.45,20.92,104.6,02bbc489-9694-41e0-97b1-e3c7e8bb7ba0
49,MW-12,9/27/2018 3:11:02 PM,0.5,8.66,1.286,2.06,21,111.6,75e28d2b-ce4f-4819-b542-708748e16b65
50,MW-12,9/27/2018 3:13:52 PM,1,7.41,1.213,1.13,20.89,80.5,a375de2e-8f96-4a8a-a630-a319288df2af
51,MW-12,9/27/2018 3:15:41 PM,1.25,7.38,1.205,1.45,20.9,61.5,af572847-5502-4500-8cbd-ae06c1458f8f
52,MW-12,9/27/2018 3:17:56 PM,1.75,7.34,1.189,1.8,20.96,38.4,9dcc93b6-8dd1-4a13-8cbd-3ee6b670f9c5
53,MW-12,9/27/2018 3:19:10 PM,2,7.33,1.188,1.8,20.95,37,0fa9f750-60d9-44f1-81a6-927a265ee7e9
54,62W-MW-3,9/27/2018 4:32:09 PM,0.25,6.71,0.133,4.55,18.68,128.1,66eb35b7-8aa0-47ff-ae78-5d229058ac2c
55,62W-MW-3,9/27/2018 4:34:10 PM,0.5,6.64,0.129,3.95,19.06,134,ac9ba791-ac51-47e4-a4a4-16d989d495f6
56,62W-MW-3,9/27/2018 4:36:11 PM,1,6.65,0.129,3.31,19.31,137.6,f095405f-8cac-4158-b618-714a6d159fa3
57,62W-MW-3,9/27/2018 4:38:08 PM,1.25,6.69,0.133,2.57,19.53,139,4cacaa37-f6be-4d5c-90fd-6d7fef842afa
58,62W-MW-3,9/27/2018 4:40:46 PM,1.5,6.72,0.139,1.74,19.72,140.9,a7e7bcf8-f64b-4ec9-9f68-3002fb864840
59,62W-MW-3,9/27/2018 4:42:20 PM,1.75,6.73,0.141,1.66,19.62,140.3,510134f7-75e2-42a0-b2f2-d78d7f010538
60,64W-MW-4,9/27/2018 5:04:09 PM,0.25,6.2,0.247,3.87,19.11,104.2,51b2f6c9-2c1a-4182-96de-d78d4ca5a6ca
