OBJECTID,Well ID,Client Name,Project Name,Project Number,Well Use,Well_Diameter_inches,GlobalID,X,Y,x2,y2
1,MW-4,Montclair MDU,Quarterly GW Sampling,59394,Permenant,2,14869e7e-df17-42ba-a5df-6cdb3f0b1810,-74.2095773299999,40.833945161,-74.2095773299999,40.833945161
2,MW-3,Montclair MDU,Quarterly GW Sampling,59394,Permenant,4,74ec18ec-fc5b-4a8d-a130-2370f38b2c85,-74.2101604441514,40.8340253777918,-74.2101604439999,40.834025378
3,MW-1,Montclair MDU,Quarterly GW Sampling,59394,Permenant,4,79b4804c-e6b6-4c7c-b89b-6d01583197d2,-74.2100751254889,40.8336850136691,-74.2100751249999,40.833685014
5,MW-2,Montclair MDU,Quarterly GW Sampling,59394,Permenant,4,7f3f4312-ffac-4d31-a111-93fbe2701808,-74.2104768815366,40.8336516380793,-74.210476882,40.833651638
6,MW-7,Montclair MDU,Quarterly GW Sampling,59394,Permenant,2,42cf5041-286e-49e3-92ae-066c83a255b0,-74.210653699661,40.8332683278743,-74.2106537,40.833268328
7,MW-5,Montclair MDU,Quarterly GW Sampling,59394,Permenant,2,332975da-48d1-4d77-8b88-9a4291c30dd1,-74.2095164430391,40.8334824293321,-74.209516443,40.8334824290001
8,MW-6,Montclair MDU,Quarterly GW Sampling,59394,Permenant,2,e6ec681f-6639-4b67-891c-a922ab7dc82e,-74.2099724185715,40.8331648283435,-74.2099724189999,40.8331648280001
10,MW-12,Montclair MDU,Quarterly GW Sampling,59394,Permenant,2,2b3efb43-d885-4e5d-ad4a-e314d77c9e06,-74.2103948664912,40.8326676224628,-74.210394866,40.832667622
11,MW-11,Montclair MDU,Quarterly GW Sampling,59394,Permenant,2,12c5d8a2-86b3-40d3-8ac3-896a6b138a2c,-74.2103439045199,40.8327843139737,-74.2103439049999,40.832784314
12,MW-10,Montclair MDU,Quarterly GW Sampling,59394,Permenant,2,012b8df1-cddd-4283-b605-458220be255c,-74.2102111351737,40.8328492552474,-74.210211135,40.832849255
13,MW-9,Montclair MDU,Quarterly GW Sampling,59394,Permenant,2,4a3a6d77-ac66-4f0d-bd7b-038b6dfc1cb8,-74.2101561498889,40.8329598582076,-74.21015615,40.832959858
14,7B-MW-1,Montclair MDU,Quarterly GW Sampling,59394,Permenant,2,18c462f8-893e-4860-ad8a-bf34d20576d0,-74.2100998234996,40.8328756376216,-74.210099823,40.8328756380001
15,62W-MW-2,Montclair MDU,Quarterly GW Sampling,59394,Permenant,2,30a8a41b-512f-4865-b252-75447b1afec3,-74.2101666384013,40.8327242017988,-74.210166638,40.8327242020001
16,64W-MW-4,Montclair MDU,Quarterly GW Sampling,59394,Permenant,2,ca2169c1-3c39-44a1-8a11-25565d51fd9d,-74.2099898529301,40.8326645783336,-74.209989853,40.832664578
17,62W-MW-3,Montclair MDU,Quarterly GW Sampling,59394,Permenant,2,8b363fcb-c5e5-441b-b0dd-05c5ae5d02fa,-74.2099429142723,40.8325803573725,-74.209942914,40.832580357
18,MW-8,Montclair MDU,Quarterly GW Sampling,59394,Permenant,2,3cead365-58ab-4e7a-8606-4f69140e6e41,-74.2099985303983,40.8330521330154,-74.20999853,40.8330521330001
