Address ,City,State,Full Address,Lat,Lng
76 Schermerhorn Street,Brooklyn,NY,"76 Schermerhorn Street, Brooklyn, NY",,
280 Atlantic Avenue,Brooklyn,NY,"280 Atlantic Avenue, Brooklyn, NY",,
330 Atlantic Avenue,Brooklyn,NY,"330 Atlantic Avenue, Brooklyn, NY",,
286 Atlantic Avenue,Brooklyn,NY,"286 Atlantic Avenue, Brooklyn, NY",,
181 Atlantic Avenue,Brooklyn,NY,"181 Atlantic Avenue, Brooklyn, NY",,
422 Fulton Street,Brooklyn,NY,"422 Fulton Street, Brooklyn, NY",,
11 Hoyt Street,Brooklyn,NY,"11 Hoyt Street, Brooklyn, NY",,
211 Schermerhorn Street,Brooklyn,NY,"211 Schermerhorn Street, Brooklyn, NY",,
264 Pacific Street,Brooklyn,NY,"264 Pacific Street, Brooklyn, NY",,
491 Baltic Street,Brooklyn,NY,"491 Baltic Street, Brooklyn, NY",,
371 Baltic Street,Brooklyn,NY,"371 Baltic Street, Brooklyn, NY",,
172 Third Avenue,Brooklyn,NY,"172 Third Avenue, Brooklyn, NY",,
278 Warren Street,Brooklyn,NY,"278 Warren Street, Brooklyn, NY",,
386 Henry Street,Brooklyn,NY,"386 Henry Street, Brooklyn, NY",,
96 Amity Street,Brooklyn,NY,"96 Amity Street, Brooklyn, NY",,
61 Bond Street,Brooklyn,NY,"61 Bond Street, Brooklyn, NY",,
8 Nevins Street,Brooklyn,NY,"8 Nevins Street, Brooklyn, NY",,
285 Schermerhorn Street,Brooklyn,NY,"285 Schermerhorn Street, Brooklyn, NY",,
651 Fulton Street,Brooklyn,NY,"651 Fulton Street, Brooklyn, NY",,
41 Flatbush Avenue,Brooklyn,NY,"41 Flatbush Avenue, Brooklyn, NY",,
50 Nevins Street,Brooklyn,NY,"50 Nevins Street, Brooklyn, NY",,
540 Fulton Street,Brooklyn,NY,"540 Fulton Street, Brooklyn, NY",,
138 Willoughby Street,Brooklyn,NY,"138 Willoughby Street, Brooklyn, NY",,
9 Dekalb Avenue,Brooklyn,NY,"9 Dekalb Avenue, Brooklyn, NY",,
625 Fulton Street,Brooklyn,NY,"625 Fulton Street, Brooklyn, NY",,
