Address ,City,State,Full Address,Lat,Lng
76 Schermerhorn Street,Brooklyn,NY,"76 Schermerhorn Street, Brooklyn, NY",40.6904672,-73.9907733
280 Atlantic Avenue,Brooklyn,NY,"280 Atlantic Avenue, Brooklyn, NY",40.688556,-73.9898089
330 Atlantic Avenue,Brooklyn,NY,"330 Atlantic Avenue, Brooklyn, NY",40.6877939,-73.987865
286 Atlantic Avenue,Brooklyn,NY,"286 Atlantic Avenue, Brooklyn, NY",40.6885058,-73.9895921
7 Boerum Place,Brooklyn,NY,"7 Boerum Place, Brooklyn, NY",40.6908772,-73.9890186
181 Atlantic Avenue,Brooklyn,NY,"181 Atlantic Avenue, Brooklyn, NY",40.6902833,-73.9936315
422 Fulton Street,Brooklyn,NY,"422 Fulton Street, Brooklyn, NY",40.6906222,-73.9860791
11 Hoyt Street,Brooklyn,NY,"11 Hoyt Street, Brooklyn, NY",40.6899456,-73.9850466
211 Schermerhorn,Brooklyn,NY,"211 Schermerhorn, Brooklyn, NY",40.706594,-74.005651
264 Pacific Street,Brooklyn,NY,"264 Pacific Street, Brooklyn, NY",40.6879996,-73.9900707
491 Baltic Street,Brooklyn,NY,"491 Baltic Street, Brooklyn, NY",40.682502,-73.985346
313 Butler Street,Brooklyn,NY,"313 Butler Street, Brooklyn, NY",40.6807511,-73.982957
371 Baltic Street,Brooklyn,NY,"371 Baltic Street, Brooklyn, NY",40.6843019,-73.9900993
172 Third Avenue,Brooklyn,NY,"172 Third Avenue, Brooklyn, NY",40.680773,-73.984139
278 Warren Street,Brooklyn,NY,"278 Warren Street, Brooklyn, NY",40.686075,-73.993566
386 Henry Street,Brooklyn,NY,"386 Henry Street, Brooklyn, NY",40.6879118,-73.9978208
96 Amity Street,Brooklyn,NY,"96 Amity Street, Brooklyn, NY",40.6894812,-73.9976487
61 Bond Street,Brooklyn,NY,"61 Bond Street, Brooklyn, NY",40.6877629,-73.983993
8 Nevins Street,Brooklyn,NY,"8 Nevins Street, Brooklyn, NY",40.6885808,-73.9813417
285 Schermerhorn Street,Brooklyn,NY,"285 Schermerhorn Street, Brooklyn, NY",40.6879634,-73.9825897
651 Fulton Street,Brooklyn,NY,"651 Fulton Street, Brooklyn, NY",40.6886045,-73.9786065
41 Flatbush Avenue,Brooklyn,NY,"41 Flatbush Avenue, Brooklyn, NY",40.6876232,-73.9793866
50 Nevins Street,Brooklyn,NY,"50 Nevins Street, Brooklyn, NY",40.6869517,-73.9821824
540 Fulton Street,Brooklyn,NY,"540 Fulton Street, Brooklyn, NY",40.6889039,-73.9812886
138 Willoughby Street,Brooklyn,NY,"138 Willoughby Street, Brooklyn, NY",40.6919187,-73.9828257
9 Dekalb Avenue,Brooklyn,NY,"9 Dekalb Avenue, Brooklyn, NY",40.6901579,-73.9824976
625 Fulton Street,Brooklyn,NY,"625 Fulton Street, Brooklyn, NY",40.6886174,-73.9796862
