,address,capacity,cross_street,lat,lon,name,post_code,rental_methods,station_id
0,Fort York  Blvd / Capreol Crt,30,,43.639832,-79.395954,Fort York  Blvd / Capreol Crt,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7000
1,Lower Jarvis St / The Esplanade,15,,43.647992,-79.370907,Lower Jarvis St / The Esplanade,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7001
2,St. George St / Bloor St W,19,,43.667333,-79.399429,St. George St / Bloor St W,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7002
3,Madison Ave / Bloor St W,15,,43.667158,-79.402761,Madison Ave / Bloor St W,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7003
4,University Ave / Elm St,11,,43.656518,-79.389099,University Ave / Elm St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7004
5,University Ave / King St W,19,,43.648093,-79.384749,University Ave / King St W,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7005
6,Bay St / College St (East Side),11,,43.660439,-79.385525,Bay St / College St (East Side),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7006
7,College St / Huron St,11,,43.658148,-79.398167,College St / Huron St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7007
8,Wellesley St W / Queen's Park Cres,19,,43.663376,-79.392125,Wellesley St / Queen's Park Cres,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7008
9,King St E / Jarvis St,11,,43.650325,-79.372287,King St E / Jarvis St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7009
10,King St W / Spadina Ave,19,,43.645323,-79.395003,King St W / Spadina Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7010
11,Wellington St W / Portland St,11,,43.642982,-79.399256,Wellington St W / Portland St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7011
12,Elizabeth St / Edward St (Bus Terminal),15,,43.656026,-79.385327,Elizabeth St / Edward St (Bus Terminal),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7012
13,Scott St / The Esplanade,19,,43.64656,-79.375274,Scott St / The Esplanade,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7013
14,Sherbourne St / Carlton St (Allan Gardens),17,,43.663102,-79.373181,Sherbourne St / Carlton St (Allan Gardens),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7014
15,King St W / Bay St (West Side),19,,43.64852,-79.380576,King St W / Bay St (West Side),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7015
16,Bay St / Queens Quay W (Ferry Terminal),23,,43.640823,-79.376265,Bay St / Queens Quay W (Ferry Terminal),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7016
17,Widmer St / Adelaide St W,19,,43.647145,-79.391479,Widmer St / Adelaide St W,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7017
18,Bremner Blvd / Rees St,15,,43.641529,-79.386741,Bremner Blvd / Rees St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7018
19,Temperance St. / Bay St.,27,,43.650699,-79.380723,Temperance St. / Bay St.,m,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7019
20,Phoebe St / Spadina Ave,33,,43.650033,-79.396555,Phoebe St / Spadina Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7020
21,Bay St / Albert St,31,,43.653264,-79.382458,Bay St / Albert St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7021
22,Simcoe St / Queen St W,27,,43.650858,-79.387582,Simcoe St / Queen St W,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7022
23,College St / Borden St,11,,43.6571,-79.4056,College St / Borden St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7023
24,Dundonald St / Church St,23,,43.66663,-79.38148,Dundonald St / Church St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7024
25,Ted Rogers Way / Bloor St E,27,,43.671293,-79.380471,Ted Rogers Way / Bloor St E,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7025
