rsid,bbl,tid,longi,lat,street,inaddress,type1,type2,outadd,tigerlineid
1,3010000040,36047015300,-73.98061,40.668056,R,"294 7TH AVE,, BROOKLYN,, NY,, 11215",Match,Exact,"294 7TH AVE, BROOKLYN, NY, 11215",59078148
2,3010020029,36047012100,-73.99056,40.67202,R,"446 3RD AVE,, BROOKLYN,, NY,, 11215",Match,Exact,"446 3RD AVE, BROOKLYN, NY, 11215",59075633
3,3010020031,36047012100,-73.990685,40.671875,R,"450 3RD AVE,, BROOKLYN,, NY,, 11215",Match,Exact,"450 3RD AVE, BROOKLYN, NY, 11215",59075633
4,3010020042,36047012100,-73.99171,40.671795,L,"169 9TH ST,, BROOKLYN,, NY,, 11215",Match,Exact,"169 9TH ST, BROOKLYN, NY, 11215",59075567
5,3010020053,36047012100,-73.99248,40.672173,L,"147 9TH ST,, BROOKLYN,, NY,, 11215",Match,Exact,"147 9TH ST, BROOKLYN, NY, 11215",59075567
6,3010030126,36047012100,-73.9891,40.67137,R,"194 8TH ST,, BROOKLYN,, NY,, 11215",Match,Exact,"194 8TH ST, BROOKLYN, NY, 11215",59075634
7,3010030024,36047012100,-73.9893,40.67147,R,"188 8TH ST,, BROOKLYN,, NY,, 11215",Match,Exact,"188 8TH ST, BROOKLYN, NY, 11215",59075634
8,3010030029,36047012100,-73.98882,40.671238,R,"202 8TH ST,, BROOKLYN,, NY,, 11215",Match,Exact,"202 8TH ST, BROOKLYN, NY, 11215",59075634
9,3010040016,36047013700,-73.98746,40.670578,R,"234 8TH ST,, BROOKLYN,, NY,, 11215",Match,Exact,"234 8TH ST, BROOKLYN, NY, 11215",59075699
10,3010040017,36047013700,-73.9874,40.670547,R,"236 8TH ST,, BROOKLYN,, NY,, 11215",Match,Exact,"236 8TH ST, BROOKLYN, NY, 11215",59075699
11,3010040018,36047013700,-73.98733,40.670517,R,"238 8TH ST,, BROOKLYN,, NY,, 11215",Match,Exact,"238 8TH ST, BROOKLYN, NY, 11215",59075699
12,3010040062,36047013700,-73.98762,40.669815,L,"267 9TH ST,, BROOKLYN,, NY,, 11215",Match,Exact,"267 9TH ST, BROOKLYN, NY, 11215",59075695
13,3010050003,36047013700,-73.98613,40.669373,L,"437 5TH AVE,, BROOKLYN,, NY,, 11215",Match,Exact,"437 5TH AVE, BROOKLYN, NY, 11215",59075712
14,3010050037,36047013700,-73.98405,40.668934,R,"334 8TH ST,, BROOKLYN,, NY,, 11215",Match,Exact,"334 8TH ST, BROOKLYN, NY, 11215",59075713
15,3010050038,36047013700,-73.98393,40.668873,R,"338 8TH ST,, BROOKLYN,, NY,, 11215",Match,Exact,"338 8TH ST, BROOKLYN, NY, 11215",59075713
16,3010057502,36047013700,-73.9844,40.66826,L,"365 9TH ST,, BROOKLYN,, NY,, 11215",Match,Exact,"365 9TH ST, BROOKLYN, NY, 11215",59075711
17,3010057502,36047013700,-73.98477,40.668438,L,"351 9TH ST,, BROOKLYN,, NY,, 11215",Match,Exact,"351 9TH ST, BROOKLYN, NY, 11215",59075711
18,3010060020,36047015300,-73.98248,40.668175,R,"374 8TH ST,, BROOKLYN,, NY,, 11215",Match,Exact,"374 8TH ST, BROOKLYN, NY, 11215",59078143
19,3010060028,36047015300,-73.98203,40.667957,R,"388 8TH ST,, BROOKLYN,, NY,, 11215",Match,Exact,"388 8TH ST, BROOKLYN, NY, 11215",59078143
20,3010060031,36047015300,-73.98184,40.667866,R,"394 8TH ST,, BROOKLYN,, NY,, 11215",Match,Exact,"394 8TH ST, BROOKLYN, NY, 11215",59078143
21,3010060036,36047015300,-73.98165,40.66777,R,"400 8TH ST,, BROOKLYN,, NY,, 11215",Match,Exact,"400 8TH ST, BROOKLYN, NY, 11215",59078143
22,3010060037,36047015300,-73.98112,40.667454,R,"314 7TH AVE,, BROOKLYN,, NY,, 11215",Match,Exact,"314 7TH AVE, BROOKLYN, NY, 11215",59078150
