Taxon,Longitude,Latitude,Country,ADM1_NAME,ADM2_NAME
coffee,-90.06249531,14.02083719,Guatemala,Jutiapa,Moyuta
coffee,-90.18749532,14.06250386,Guatemala,Santa Rosa,San Juan Tecuaco
coffee,-90.06249531,14.06250386,Guatemala,Jutiapa,Conguaco
coffee,-90.06249531,14.10417053,Guatemala,Jutiapa,Conguaco
coffee,-90.479162,14.1458372,Guatemala,Santa Rosa,Santa María Ixhuatan
coffee,-90.43749533,14.1458372,Guatemala,Santa Rosa,Santa María Ixhuatan
coffee,-90.39582866,14.1458372,Guatemala,Santa Rosa,Taxisco
coffee,-90.31249532,14.1458372,Guatemala,Santa Rosa,Guazacapan
coffee,-90.27082865,14.1458372,Guatemala,Santa Rosa,Guazacapan
coffee,-89.77082863,14.1458372,Guatemala,Jutiapa,Atescatempa
coffee,-90.56249533,14.18750387,Guatemala,Santa Rosa,Nueva Santa Rosa
coffee,-90.52082867,14.18750387,Guatemala,Santa Rosa,Santa María Ixhuatan
coffee,-90.479162,14.18750387,Guatemala,Santa Rosa,Nueva Santa Rosa
coffee,-90.35416199,14.18750387,Guatemala,Santa Rosa,Nueva Santa Rosa
coffee,-90.10416198,14.18750387,Guatemala,Santa Rosa,San Juan Tecuaco
coffee,-90.56249533,14.22917054,Guatemala,Santa Rosa,Nueva Santa Rosa
coffee,-90.22916198,14.22917054,Guatemala,Santa Rosa,Barberena
coffee,-89.8124953,14.22917054,Guatemala,Jutiapa,El Progreso
coffee,-90.64582867,14.27083721,Guatemala,Escuintla,Nueva Concepcion
coffee,-90.52082867,14.27083721,Guatemala,Santa Rosa,Nueva Santa Rosa
coffee,-90.31249532,14.27083721,Guatemala,Santa Rosa,Barberena
coffee,-90.14582865,14.27083721,Guatemala,Jutiapa,Quezada
coffee,-89.8124953,14.27083721,Guatemala,Jutiapa,El Progreso
coffee,-90.64582867,14.31250388,Guatemala,Escuintla,Nueva Concepcion
coffee,-90.604162,14.31250388,Guatemala,Guatemala,San Miguel Petapa
coffee,-90.52082867,14.31250388,Guatemala,Guatemala,San Miguel Petapa
coffee,-90.39582866,14.31250388,Guatemala,Santa Rosa,Santa Rosa de Lima
coffee,-90.35416199,14.31250388,Guatemala,Santa Rosa,Santa Rosa de Lima
coffee,-90.27082865,14.31250388,Guatemala,Santa Rosa,Solola
coffee,-90.22916198,14.31250388,Guatemala,Santa Rosa,Barberena
coffee,-90.97916202,14.35417054,Guatemala,Escuintla,Masagua
coffee,-90.89582869,14.35417054,Guatemala,Escuintla,Masagua
coffee,-90.85416202,14.35417054,Guatemala,Escuintla,Santa Lucía Cotzumalguapa
coffee,-90.81249535,14.35417054,Guatemala,Escuintla,Santa Lucía Cotzumalguapa
coffee,-90.64582867,14.35417054,Guatemala,Escuintla,Nueva Concepcion
coffee,-90.35416199,14.35417054,Guatemala,Santa Rosa,Pueblo Nuevo Viñas
coffee,-90.22916198,14.35417054,Guatemala,Santa Rosa,Solola
coffee,-90.18749532,14.35417054,Guatemala,Santa Rosa,San Rafael Las Flores
coffee,-90.93749535,14.39583721,Guatemala,Escuintla,Masagua
coffee,-90.89582869,14.39583721,Guatemala,Escuintla,Masagua
coffee,-90.68749534,14.39583721,Guatemala,Escuintla,San Vicente Pacaya
coffee,-90.56249533,14.39583721,Guatemala,Guatemala,Villa Nueva
coffee,-90.43749533,14.39583721,Guatemala,Santa Rosa,Santa Rosa de Lima
coffee,-90.27082865,14.39583721,Guatemala,Santa Rosa,Solola
coffee,-90.18749532,14.39583721,Guatemala,Santa Rosa,San Rafael Las Flores
coffee,-91.18749537,14.43750388,Guatemala,Suchitepequez,Santo Tomas La Unión
coffee,-91.1458287,14.43750388,Guatemala,Suchitepequez,Santa Barbara
coffee,-91.10416203,14.43750388,Guatemala,Suchitepequez,Santa Barbara
coffee,-90.81249535,14.43750388,Guatemala,Sacatepequez,San Antonio Aguas calientes
coffee,-90.77082868,14.43750388,Guatemala,Escuintla,Santa Lucía Cotzumalguapa
coffee,-90.43749533,14.43750388,Guatemala,Guatemala,Amatitlan
coffee,-90.39582866,14.43750388,Guatemala,Santa Rosa,Casillas
coffee,-90.27082865,14.43750388,Guatemala,Santa Rosa,Solola
coffee,-89.97916197,14.43750388,Guatemala,Jutiapa,El Progreso
coffee,-89.77082863,14.43750388,Guatemala,Jutiapa,Agua Blanca
coffee,-91.27082871,14.47917055,Guatemala,Suchitepequez,San Juan Bautista
coffee,-90.97916202,14.47917055,Guatemala,Chimaltenango,San Andres Itzapa
coffee,-90.81249535,14.47917055,Guatemala,Sacatepequez,San Antonio Aguas calientes
coffee,-90.68749534,14.47917055,Guatemala,Sacatepequez,Ciudad Vieja
coffee,-90.52082867,14.47917055,Guatemala,Guatemala,San Miguel Petapa
